Diagnosed Diabetes; Sex; Adults Aged 20+ Years; Age-Adjusted Percentage; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit,
2004,6.8,4.8,9.3,6.3,4.5,8.4,
2005,6.9,4.5,9.8,6.1,4.0,8.7,
2006,7.2,4.9,10.0,6.3,4.3,8.8,
2007,9.5,7.3,12.3,8.4,6.4,11.0,
2008,9.3,7.1,11.9,8.3,6.3,10.6,
2009,8.7,6.4,11.3,7.7,5.6,9.9,
2010,9.4,6.2,13.4,8.0,5.5,11.5,
2011,8.5,6.2,11.7,7.5,5.4,10.4,
2012,8.6,6.2,11.3,7.6,5.5,10.1,
2013,7.3,4.9,10.5,6.5,4.3,9.8,
2014,8.7,6.3,11.9,7.7,5.4,10.4,
2015,9.7,6.5,13.6,8.7,5.8,12.4,
2016,9.0,6.3,12.6,8.1,5.7,11.1,
2017,9.5,6.1,13.6,8.7,5.7,12.9,
2018,9.1,5.6,14.1,8.2,5.2,12.5,
2019,7.9,5.1,11.5,7.2,4.5,10.0,
2020,8.4,5.2,12.5,7.2,4.6,10.7,
2021,9.1,6.5,12.8,8.0,5.7,11.3,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
