Newly Diagnosed Diabetes; Total; Adults Aged 20+ Years; Age-Adjusted Rate per 1000; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,Total - Rate per 1000,Total - Lower Limit,Total - Upper Limit,
2004,11.1,7.7,15.4,
2005,11.2,7.9,15.5,
2006,12.8,9.1,17.2,
2007,13.0,9.5,17.7,
2008,11.8,8.8,15.8,
2009,10.7,7.6,14.7,
2010,9.6,6.9,13.2,
2011,9.5,6.6,13.4,
2012,7.7,5.3,11.1,
2013,7.9,5.8,10.4,
2014,9.4,7.0,12.4,
2015,9.9,7.0,13.5,
2016,9.8,5.3,16.7,
2017,9.9,5.8,16.1,
2018,8.3,4.9,12.5,
2019,8.6,5.2,12.8,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
