Obesity; Total; Adults Aged 20+ Years; Age-Adjusted Percentage; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,Total - Percentage,Total - Lower Limit,Total - Upper Limit,
2004,21.9,16.8,27.5,
2005,21.5,15.3,28.1,
2006,25.4,18.8,33.0,
2007,32.5,26.4,39.0,
2008,28.7,22.5,36.0,
2009,27.1,20.4,35.3,
2010,23.8,16.8,30.7,
2011,18.5,12.9,25.4,
2012,15.5,11.0,22.7,
2013,24.2,18.4,30.8,
2014,27.4,21.5,33.9,
2015,26.2,20.0,32.6,
2016,30.0,23.1,37.0,
2017,28.7,18.9,39.3,
2018,27.7,18.9,36.9,
2019,26.4,18.0,36.0,
2020,22.3,14.6,30.7,
2021,29.5,22.0,37.3,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
