Obesity; Age; Adults Aged 20+ Years; Percentage; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,20-44 - Percentage,20-44 - Lower Limit,20-44 - Upper Limit,45-64 - Percentage,45-64 - Lower Limit,45-64 - Upper Limit,65+ - Percentage,65+ - Lower Limit,65+ - Upper Limit,
2004,20.5,15.1,26.3,26.3,19.7,33.1,18.1,13.4,23.5,
2005,20.3,13.6,27.8,26.0,18.3,34.7,16.9,11.0,23.8,
2006,23.7,16.7,32.1,30.5,22.4,39.4,21.2,14.5,28.5,
2007,31.1,24.1,39.2,38.1,30.8,45.5,26.6,20.4,33.9,
2008,27.4,20.2,35.7,33.8,26.4,42.1,23.7,17.2,31.2,
2009,25.7,18.3,34.4,31.8,24.0,40.8,22.5,15.6,30.4,
2010,22.4,15.0,29.3,28.3,20.1,37.5,20.1,13.6,27.4,
2011,17.3,12.0,23.9,21.8,15.5,29.6,15.9,11.1,22.2,
2012,14.3,10.1,21.2,18.4,13.2,26.6,13.7,9.6,20.3,
2013,22.6,17.2,29.0,28.2,21.8,35.5,21.5,16.3,27.7,
2014,25.4,19.1,32.6,32.2,25.1,39.7,24.8,18.5,32.1,
2015,24.5,18.5,30.7,30.3,23.4,37.2,23.9,18.0,30.0,
2016,28.1,20.8,36.0,34.3,26.4,42.5,28.0,20.9,36.1,
2017,26.1,16.2,36.9,33.8,22.0,46.7,27.5,17.1,39.7,
2018,25.5,17.2,34.8,32.2,21.3,43.4,26.3,18.0,36.2,
2019,24.6,16.0,34.3,30.5,20.3,42.1,24.5,16.1,36.3,
2020,20.7,13.2,29.0,26.0,16.6,36.6,20.4,13.0,28.7,
2021,28.1,20.5,35.6,34.0,25.6,42.4,26.0,18.9,33.4,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
