Obesity; Sex; Adults Aged 20+ Years; Age-Adjusted Percentage; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit,
2004,22.3,16.8,28.7,21.4,16.3,26.9,
2005,21.6,14.9,28.7,21.3,15.1,28.5,
2006,25.5,18.5,33.9,25.2,18.3,32.8,
2007,32.1,25.6,39.9,32.8,26.2,39.4,
2008,28.9,22.1,36.7,28.6,21.8,36.3,
2009,27.1,19.6,35.4,27.0,20.2,35.0,
2010,24.1,16.4,31.7,23.6,16.7,31.2,
2011,18.9,13.2,26.0,18.0,12.6,24.8,
2012,15.8,11.2,23.2,15.1,10.7,22.2,
2013,23.8,18.2,30.3,23.8,18.2,30.3,
2014,27.6,21.2,34.8,27.3,20.8,34.4,
2015,26.7,20.3,33.2,25.8,19.6,32.1,
2016,30.4,23.2,38.5,29.7,22.7,37.1,
2017,28.9,18.5,40.8,28.6,18.3,40.3,
2018,27.6,18.1,37.7,27.8,19.0,37.5,
2019,26.3,17.5,36.1,26.5,17.6,37.1,
2020,22.3,14.4,31.3,22.3,14.3,31.2,
2021,29.4,21.7,37.3,29.7,22.0,37.5,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
