Physical Inactivity; Total; Adults Aged 20+ Years; Age-Adjusted Percentage; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,Total - Percentage,Total - Lower Limit,Total - Upper Limit,
2004,20.3,15.1,25.6,
2005,15.8,8.7,25.5,
2006,24.0,18.3,30.5,
2007,28.2,22.7,34.6,
2008,27.3,21.8,33.6,
2009,23.1,17.4,29.8,
2010,21.8,15.9,28.3,
2011,20.6,14.7,27.8,
2012,15.4,10.6,21.1,
2013,25.4,19.4,32.3,
2014,23.9,18.8,29.3,
2015,23.3,17.5,29.8,
2016,21.5,16.3,27.9,
2017,15.4,10.3,21.8,
2018,18.4,12.0,25.4,
2019,23.6,16.8,30.4,
2020,19.8,13.9,26.6,
2021,19.1,13.7,25.8,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
