Physical Inactivity; Age; Adults Aged 20+ Years; Percentage; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,20-44 - Percentage,20-44 - Lower Limit,20-44 - Upper Limit,45-64 - Percentage,45-64 - Lower Limit,45-64 - Upper Limit,65+ - Percentage,65+ - Lower Limit,65+ - Upper Limit,
2004,17.0,12.1,22.4,21.9,16.4,28.3,27.5,20.3,34.9,
2005,13.3,6.8,22.5,16.8,9.0,28.2,21.7,11.5,34.4,
2006,19.5,13.8,26.1,27.2,20.4,35.6,31.8,23.5,39.7,
2007,23.1,17.3,30.0,31.8,25.5,39.0,37.2,29.6,45.2,
2008,22.5,16.6,29.2,31.1,24.3,38.9,35.1,28.2,42.6,
2009,19.2,13.5,25.4,26.0,19.2,34.1,30.0,22.6,38.1,
2010,18.2,12.7,24.9,24.4,17.5,32.1,28.3,20.2,37.2,
2011,17.1,11.5,24.1,22.9,15.8,31.8,27.2,19.7,35.8,
2012,12.2,8.2,17.0,17.1,11.8,23.4,22.1,15.6,29.7,
2013,21.3,15.5,28.6,28.2,21.2,35.6,33.0,25.7,40.7,
2014,19.1,14.0,24.7,26.9,20.4,33.4,33.0,25.9,40.4,
2015,19.2,13.3,25.6,26.0,19.2,33.4,31.0,23.1,40.5,
2016,16.9,12.3,23.1,24.7,17.9,33.1,30.1,22.8,38.9,
2017,12.6,8.3,18.1,17.4,11.7,24.6,20.4,13.9,28.3,
2018,14.4,9.2,21.0,21.7,13.4,30.6,25.0,16.6,35.3,
2019,19.6,13.5,27.0,26.6,19.1,34.5,30.1,21.7,38.6,
2020,15.6,10.4,22.2,22.9,16.1,31.7,26.8,18.6,35.8,
2021,14.8,10.2,20.7,22.3,15.8,29.8,26.7,18.8,35.4,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
