Physical Inactivity; Sex; Adults Aged 20+ Years; Age-Adjusted Percentage; Mclennan County (FIPS:48309); Texas
Data downloaded on 10-July-2025
Year,Male - Percentage,Male - Lower Limit,Male - Upper Limit,Female - Percentage,Female - Lower Limit,Female - Upper Limit,
2004,18.3,13.3,23.6,22.0,16.3,28.0,
2005,14.1,7.6,23.5,17.3,9.4,27.4,
2006,21.7,15.9,28.8,25.9,19.7,32.9,
2007,25.2,19.4,32.1,30.7,24.9,37.4,
2008,25.0,18.9,32.1,29.2,23.0,36.1,
2009,20.8,15.1,27.6,25.3,18.5,32.8,
2010,20.0,14.1,27.0,23.5,17.3,30.8,
2011,19.1,13.3,26.4,21.9,15.5,30.2,
2012,14.1,9.6,19.5,16.5,11.5,22.6,
2013,24.6,18.5,32.0,26.1,19.7,33.0,
2014,22.6,16.9,28.3,25.0,19.2,31.0,
2015,22.3,16.1,29.7,24.2,18.0,30.7,
2016,20.1,14.6,26.9,22.8,17.0,30.0,
2017,14.5,9.6,20.6,16.2,10.8,22.8,
2018,17.0,10.8,24.0,19.7,13.0,27.5,
2019,22.1,15.5,28.9,24.8,17.6,32.5,
2020,18.4,12.7,26.0,21.0,14.9,28.3,
2021,17.5,12.6,24.4,20.7,14.7,27.4,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
