year,age,sex,race,indicator,value,lower,upper,unit,source,category,subcategory,description
2004,20-44,Overall,Overall,Diagnosed Diabetes,2.4,1.6,3.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,45-64,Overall,Overall,Diagnosed Diabetes,9.2,6.5,12.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2004,65+,Overall,Overall,Diagnosed Diabetes,14,9.7,19.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,20-44,Overall,Overall,Diagnosed Diabetes,2.5,1.5,3.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,45-64,Overall,Overall,Diagnosed Diabetes,9.1,5.9,13,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2005,65+,Overall,Overall,Diagnosed Diabetes,13.6,8.7,20,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,20-44,Overall,Overall,Diagnosed Diabetes,2.5,1.7,3.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,45-64,Overall,Overall,Diagnosed Diabetes,9.3,6.4,13.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2006,65+,Overall,Overall,Diagnosed Diabetes,14.6,10.2,20.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,20-44,Overall,Overall,Diagnosed Diabetes,3.4,2.5,4.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,45-64,Overall,Overall,Diagnosed Diabetes,12.5,9.5,16.3,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2007,65+,Overall,Overall,Diagnosed Diabetes,19.3,15,24.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,20-44,Overall,Overall,Diagnosed Diabetes,3.4,2.5,4.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,45-64,Overall,Overall,Diagnosed Diabetes,12.2,9.3,15.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2008,65+,Overall,Overall,Diagnosed Diabetes,19,14.7,23.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,20-44,Overall,Overall,Diagnosed Diabetes,3.2,2.3,4.2,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,45-64,Overall,Overall,Diagnosed Diabetes,11.2,8.3,14.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2009,65+,Overall,Overall,Diagnosed Diabetes,17.6,13.2,22.3,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,20-44,Overall,Overall,Diagnosed Diabetes,3.3,2,5.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,45-64,Overall,Overall,Diagnosed Diabetes,11.8,7.8,17.4,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2010,65+,Overall,Overall,Diagnosed Diabetes,19.4,12.9,26.3,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,20-44,Overall,Overall,Diagnosed Diabetes,3.2,2.2,4.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,45-64,Overall,Overall,Diagnosed Diabetes,11,7.9,15.3,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2011,65+,Overall,Overall,Diagnosed Diabetes,17.1,12.6,23.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,20-44,Overall,Overall,Diagnosed Diabetes,3,2.1,4.1,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,45-64,Overall,Overall,Diagnosed Diabetes,11.4,8.1,15,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2012,65+,Overall,Overall,Diagnosed Diabetes,17.7,12.9,22.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,20-44,Overall,Overall,Diagnosed Diabetes,2.3,1.4,3.6,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,45-64,Overall,Overall,Diagnosed Diabetes,9.5,6.2,14,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2013,65+,Overall,Overall,Diagnosed Diabetes,16,11,22.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,20-44,Overall,Overall,Diagnosed Diabetes,2.7,1.8,3.9,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,45-64,Overall,Overall,Diagnosed Diabetes,11.7,8.1,16,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2014,65+,Overall,Overall,Diagnosed Diabetes,18.6,12.9,24.8,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,20-44,Overall,Overall,Diagnosed Diabetes,3,1.8,4.5,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
2015,45-64,Overall,Overall,Diagnosed Diabetes,13.1,8.8,18.9,"Percentage, Adults Aged 20+ Years",DA,Diseases and Lifestyle Conditions,No Subcategory,No Description
